hk_district,district,restaurant,cuisine,veg_type,address,latitude,longitude,openrice_url,phone,remarks
港島,香港大學,一念素食,"中菜, 私房菜",純素,香港大學百周年校園逸夫教學樓地下,"22.28404325854272, 114.13413052472099",,https://www.openrice.com/zh/hongkong/r-%E4%B8%80%E5%BF%B5%E7%B4%A0%E9%A3%9F-%E8%96%84%E6%89%B6%E6%9E%97-%E8%A5%BF%E5%BC%8F-%E7%84%A1%E8%82%89%E9%A4%90%E5%96%AE-r112304,29649011,
港島,西環,寶蓮苑素食,"中菜, 粵菜",純素,西環石塘咀皇后大道西604號地舖,"22.286503012490105, 114.13286233595076",,https://www.openrice.com/zh/hongkong/r-%E5%AF%B6%E8%93%AE%E8%8B%91%E7%B4%A0%E9%A3%9F-%E8%A5%BF%E7%92%B0-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E7%B4%A0%E9%A3%9F-r118537,25438981,
港島,西環,吉祥草,"多國菜, Cafe",純素,西環德輔道西343號均益大廈2期商場地下22號舖,"22.287785250100853, 114.13797099510727",,https://www.openrice.com/zh/hongkong/r-%E5%90%89%E7%A5%A5%E8%8D%89-%E8%A5%BF%E7%92%B0-%E5%A4%9A%E5%9C%8B%E8%8F%9C-all-day-breakfast-r672383,57071151,
港島,西環,Clean,"多國菜, Cafe",蛋奶素,西環皇后大道西100號地舖,"22.28619734154833, 114.14643942016238",,https://www.openrice.com/zh/hongkong/r-clean-%E8%A5%BF%E7%92%B0-%E8%A5%BF%E5%BC%8F-r731690,91975360,
港島,西營盤,寶蓮苑素食,"中菜, 粵菜",純素,西環西營盤皇后大道西308號地舖,"22.28685826375319, 114.14190254509603",,https://www.openrice.com/zh/hongkong/r-%E5%AF%B6%E8%93%AE%E8%8B%91%E7%B4%A0%E9%A3%9F-%E8%A5%BF%E7%92%B0-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E7%B4%A0%E9%A3%9F-r18683,25171178,
港島,西營盤,LN fortunate coffee,"西式, Cafe",純素,西環西營盤第二街118號懿山地舖,"22.286347709921635, 114.14021959523981",,https://www.openrice.com/zh/hongkong/r-ln-coffee-%E8%A5%BF%E7%92%B0-%E8%A5%BF%E5%BC%8F-%E7%B4%A0%E9%A3%9F-r485637,28583898,
港島,中環,無肉食（中環）,自助餐,蛋奶素,中環嘉咸街23號My Central地下5號舖,"22.283681328867626, 114.15378427335315",,https://www.openrice.com/zh/hongkong/r-%E7%84%A1%E8%82%89%E9%A3%9F-%E4%B8%AD%E7%92%B0-%E6%B8%AF%E5%BC%8F-%E7%B4%A0%E9%A3%9F-r658911,23362908,
港島,中環,福祿壽健康素食,"中菜, 粵菜",蛋奶素,中環鐵行里8號地下,"22.28492116727487, 114.15518780873238",,https://www.openrice.com/zh/hongkong/r-%E7%A6%8F%E7%A5%BF%E5%A3%BD%E5%81%A5%E5%BA%B7%E7%B4%A0%E9%A3%9F-%E4%B8%AD%E7%92%B0-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E7%B4%A0%E9%A3%9F-r13448,25439843,
港島,中環,Nuttea,台式飲品,純素,中環皇后大道中151-155號兆英商業大廈地下C2號舖,"22.284950391487587, 114.1537815780751",,https://www.openrice.com/zh/hongkong/r-nuttea-%E4%B8%AD%E7%92%B0-%E5%8F%B0%E7%81%A3%E8%8F%9C-%E6%9E%9C%E6%B1%81-r694294,84816591,
港島,中環,Soland,私房菜,純素,中環機利文新街6號3樓,"22.284827602342354, 114.15390205291139",,https://www.openrice.com/zh/hongkong/r-soland-%E4%B8%AD%E7%92%B0-%E8%A5%BF%E5%BC%8F-%E7%B4%A0%E9%A3%9F-r14100,94733412,位於唐3樓，要行樓梯；食之前一定要Whatsapp 預約
港島,中環,Root Vegan 本原純素,"多國菜, Cafe",純素,中環威靈頓街112-114號新威大廈1樓102-103號舖,"22.28345730419216, 114.15417689523963",,https://www.openrice.com/zh/hongkong/r-root-vegan-central-international-salad-r720910,98509558,
港島,中環,Benko By Nüte,外賣飯盒,非素食,"中環康樂廣場1號怡和大廈LG層9A, 9B 及 9C號舖","22.283188087450874, 114.1592949817472",,https://www.openrice.com/zh/hongkong/r-benko-by-nute-%E4%B8%AD%E7%92%B0-%E6%97%A5%E6%9C%AC%E8%8F%9C-%E6%B2%99%E5%BE%8B-r784411,,
港島,中環,WOW Burger,漢堡包店,蛋奶素,中環康樂廣場1號怡和大廈LG樓9A號舖,"22.28321787029972, 114.15929498174724",,https://www.openrice.com/zh/hongkong/r-wow-burger-%E4%B8%AD%E7%92%B0-%E7%BE%8E%E5%9C%8B%E8%8F%9C-r795060,,
港島,中環,珺,多國菜,純素,中環威靈頓街2-8號威靈頓廣場M88 6樓,"22.281044321818605, 114.15606695458204",,https://www.openrice.com/zh/hongkong/r-%E7%8F%BA-%E4%B8%AD%E7%92%B0-%E5%A4%9A%E5%9C%8B%E8%8F%9C-%E7%84%A1%E8%82%89%E9%A4%90%E5%96%AE-r691967,28559555,
港島,中環,Kyoto Joe,日本菜,非素食,中環蘭桂坊德己立街30-36號加州大廈23樓,"22.281144807313375, 114.15549975291121",,https://www.openrice.com/zh/hongkong/r-kyoto-joe-%E4%B8%AD%E7%92%B0-%E6%97%A5%E6%9C%AC%E8%8F%9C-%E5%A3%BD%E5%8F%B8-%E5%88%BA%E8%BA%AB-r658128,28046800,
港島,中環,Mother Pearl 圓貝,台式飲品,純素,中環擺花街23-39號中環大廈地舖,"22.282710892005422, 114.15365998601268",,https://www.openrice.com/zh/hongkong/r-%E5%9C%93%E8%B2%9D-%E4%B8%AD%E7%92%B0-%E5%8F%B0%E7%81%A3%E8%8F%9C-%E7%B4%A0%E9%A3%9F-r678743,35965100,
港島,中環,Treehouse,西式,蛋奶素,中環砵甸乍街45號The Steps ‧ H Code地下1號舖,"22.282367744116563, 114.15421612407556",,https://www.openrice.com/zh/hongkong/r-treehouse-central-international-vegetarian-r637690,37912277,
港島,中環,樂茶軒 (大館)  ,"中菜, 粵菜",蛋奶素,中環荷李活道10號(舊中區警署)大館總部大樓地下01-G07號舖,"22.28193798940442, 114.15433563756797",,https://www.openrice.com/zh/hongkong/r-%E6%A8%82%E8%8C%B6%E8%BB%92-%E4%B8%AD%E7%92%B0-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E7%B4%A0%E9%A3%9F-r577634,22765777,
港島,中環,富 Madame Fu,"中菜, 粵菜",非素食,中環荷李活道10號(舊中區警署)大館營房大樓3樓,"22.28142490744273, 114.15386469594584",,https://www.openrice.com/zh/hongkong/r-%E5%AF%8C-%E4%B8%AD%E7%92%B0-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E9%BB%9E%E5%BF%83-r578998,21142118,
港島,中環,VEDA,多國菜,蛋奶素,中環亞畢諾道 2號,"22.28026467724219, 114.15456266762291",,https://www.openrice.com/zh/hongkong/r-veda-%E4%B8%AD%E7%92%B0-%E5%A4%9A%E5%9C%8B%E8%8F%9C-%E7%84%A1%E8%82%89%E9%A4%90%E5%96%AE-r612886,37553067,
